id,zh-cn,en-us
game_spectate_unavailable,观战模式无法操作,Actions are unavailable in Spectate Mode.
game_select_friendly_planet,请选中己方星球,Select your own planet!
game_weapon_built,{weapon}已建造！,{weapon} already built!
game_need_troops,需要{amount}兵力,Need {amount} troops
game_maia_river_name,麦拉芬蒙河,Malevelon Creek
game_planet_name_fallback,星球{index},Planet-{index}
game_planet_weapon_limit,该星球已部署了4个{weapon}，无法继续部署。,Planet already has 4 {weapon}.
game_mobile_weapon_immobile,阴霾和寂域不可移动,Gloom and Silent Realm cannot be moved.
game_weapon_already_moved,本回合已移动过武器，每回合只能移动一次,Already moved this turn; weapons can only move once per turn.
game_maia_river_defeat_title,麦拉芬蒙河战败,Malevelon Creek Defeat
game_maia_river_defeat_message,机器人攻陷了战略要地麦拉芬蒙河,The Automatons have captured the strategic Malevelon Creek.
game_enemy_home_captured_title,母星占领,Homeworld Captured
game_enemy_home_captured_message,我军占领了敌方母星：{planet}！,We have captured the enemy homeworld: {planet}!
game_home_lost_title,母星沦陷,Homeworld Lost
game_home_lost_message,警报！我方母星 {planet} 已被敌人占领！,Alert! Our homeworld {planet} has been captured!
game_home_fall_title,母星陷落,Homeworld Fallen
game_faction_eliminated,阵营覆灭,Faction Eliminated
game_strategic_unavailable,观战模式无法使用,Strategic Opportunities are unavailable in Spectate Mode.
game_strategic_locked,前10回合无法使用战略机遇,Strategic Opportunity not available until turn 10
game_strategic_cooldown,冷却中，还需等待{turns}回合,"On cooldown, wait {turns} more turns"
game_no_planet_troops,没有星球兵力达到30,No planet has 30 troops to pay
game_strategic_title,"战略机遇：{title} ({result})","Strategic Opportunity: {title} ({result})"
game_strategic_details,"{description}\n目标：{planet}\n兵力变化：{change}（当前：{troops}）","{description}\nTarget: {planet}\nTroop Change: {change} (current: {troops})"
game_positive,正面,Positive
game_negative,负面,Negative
game_random_strength_title,随机强度分配,Random Strength
game_random_strength_message,各敌方阵营已获得不同的额外兵力增长。,Enemy factions have been assigned different extra growth.
game_strength_unassigned,各阵营强度：未分配,Faction Strengths: Not Assigned
game_strength_prefix,各阵营强度：,Faction Strengths:
game_light_assault_title,光能突袭,Illuminate Assault
game_light_assault_message,光能者大军突然降临，占领了多个星球！西斯舰队开始全面反攻。,Illuminate forces have arrived suddenly and occupied multiple planets! The Sith fleet begins a full counteroffensive.
game_power_weak_title,势力衰弱,Power Waning
game_power_weak_message,我方总兵力已远逊于各个敌对势力，形势危急！,Our total strength is now far below every enemy faction. The situation is critical!
game_final_unavailable,观战模式无法启动,The Final Measure is unavailable in Spectate Mode.
game_final_already_active,终结手段已经启动！,The Final Measure is already active!
game_final_need_weapon,需要先建造/部署{weapon},Build or deploy {weapon} first
game_final_select_planet,选中己方星球启动,Select your own planet to activate it
game_final_started_title,终结手段启动,Final Measure Activated
game_final_started_message,所有敌人将联合进攻，我方停止增长，持续5回合。守住母星即可获胜！,All enemies will unite against you and your troop growth stops for 5 turns. Hold your homeworld to win!
game_conquest_title,征服胜利,Conquest Victory
game_conquest_result,占领全部敌方星球，一统银河！,All enemy planets have been conquered. The galaxy is yours!
game_deterrence_title,威慑胜利,Deterrence Victory
game_deterrence_result,启动终极武器强制停战,The ultimate weapon has forced a ceasefire.
game_defeat_title,败北,Defeat
game_defeat_result,你的最后一颗星球沦陷了，银河称霸梦碎,Your last planet has fallen. Your dream of galactic domination is over.
game_tips_mobile,"【{camp}军备】\n大型武器：{weapon}（移动型·一次性建造）\n终结手段：{final}（消耗400兵力）\n建造消耗180兵力，保卫+20、削弱30\n点击武器图标再点任意星球移动（敌方-20兵力，己方无损）\n每回合限移动1次","[{camp} Arsenal]\nSuperweapon: {weapon} (Mobile - Build Once)\nDoomsday: {final} (Cost 400 troops)\nBuild cost 180 troops, Guard +20, Weaken 30\nClick the weapon icon, then any planet to move (enemy -20 troops, friendly unharmed)\nLimited to one move per turn"
game_tips_deploy,"【{camp}军备】\n大型武器：{weapon}（部署型·可多次部署）\n终结手段：{final}（消耗400兵力）\n每次部署消耗150兵力，可在己方星球部署（每星球上限4个）\n己方星球保卫+20，敌方进攻削弱15\n敌方控制时每回合损兵5（可叠加）","[{camp} Arsenal]\nSuperweapon: {weapon} (Deployable - Multiple)\nDoomsday: {final} (Cost 400 troops)\nEach deployment costs 150 troops on a friendly planet (max 4 per planet)\nFriendly planet Guard +20, enemy attack weakened by 15\nWhen controlled by an enemy, loses 5 troops per turn (stackable)"
game_tips_common,"\n◆ 资源星球：每回合额外+2兵力\n🎴 战略机遇：每10回合抽一次，消耗30兵力\n📦 拖拽框选或Shift+点击多选己方星球，再点目标集体调兵/进攻（补给线连通即可）","\n◆ Resource Planet: extra +2 troops per turn\n🎴 Strategic Opportunity: draw every 10 turns, costs 30 troops\n📦 Drag-select or Shift-click friendly planets, then click a target to move or attack together (requires a connected supply line)"
game_draw_locked,战略机遇 (第10回合解锁),Strategic Opportunity (Unlocks turn 10)
game_draw_available,战略机遇 (可用),Strategic Opportunity (Ready)
game_draw_cooldown,战略机遇 (冷却 {turns} 回合),Strategic Opportunity (Cooldown {turns} turns)
game_deterrence_status,终结手段已启动！剩余{turns}回合,Doomsday active! Remaining {turns} turns
game_weapon_status_none,武器状态：无,Weapon Status: None
game_weapon_status_built,{weapon}: 已建造 (位于{planet}),{weapon}: Built (at {planet})
game_weapon_status_deployed,{weapon}: 已部署{count}个,{weapon}: Deployed {count}
