id,zh-cn,en-us
camp_earth_name,超级地球,Super Earth
camp_earth_home,超级地球,Super Earth
camp_earth_weapon,DSS,DSS
camp_earth_final,和平之星,Peace Star
camp_term_name,终结族,Terminids
camp_term_home,佛里主星,Pholus Prime
camp_term_weapon,阴霾,Gloom
camp_term_final,协同信息素,Synergy Pheromones
camp_light_name,光能者,Illuminate
camp_light_home,西斯,Sith
camp_light_weapon,寂域,Silent Realm
camp_light_final,黑洞发生器,Black Hole Generator
camp_robot_name,机器人,Automatons
camp_robot_home,生化斯坦,Cyberstan
camp_robot_weapon,ASS,ASS
camp_robot_final,死星光束,Death Star Beam
planet_names,"奥肖恩星|莫里迪亚|杜马提尔|克伦达苏|艾维斯|莫拉戴什|沃提斯|利索斯|塞拉瑞|瓦提昂|利斯瑞斯|泽菲拉|塔西斯|沃拉克|尼克斯|科尔瓦|厄林多|奎拉斯|维斯佩拉|派罗尼斯|加兰提斯|泰罗斯|内维昂|塞里尼斯|萨洛昂|沃克西斯|泽里斯|水晶星|伊利里亚|沃拉思|维克西隆|伊德里斯|瓦尼斯12|赛罗尼斯|弗洛兰提斯|泽塔|摩沃斯|伊里康|塔沃克|维瑞克斯|泽诺尼斯|塔尔沃利亚|瓦托5|菲拉西斯|瑟瑞昂|德拉卡瑞斯|维尔克罗斯|卡利克斯3|沃达拉|艾斯提拉|米兰达斯|泽卡9|普罗米拉|维索拉|泰拉隆|扎罗斯|派洛斯|厄里索斯|奈多尔|瓦尔特雷克斯|泽拉伦|塞里斯|维拉瑞斯|德拉克斯|佐瓦拉|奎隆|丽桑德拉|维瑞西亚|特尔玛拉|格瑞松|佐拉里斯|伏尔托瑞斯|奈克萨拉|奥罗拉站|斯特拉拉|月神星|索拉拉|奈布隆|塞莱斯廷|奥瑞尼斯|伊克利普斯|阿克图鲁斯|贝拉特里克斯|卡佩拉|迪奈布|埃尔纳特|佛马浩特|伽克鲁斯|哈达尔|伊扎尔|贾巴|考斯|莱萨斯|马尔菲克|奈卡尔|奥菲利亚|普罗西昂|瑞吉尔|天狼星|苏班|维加|瓦萨特|扎尼亚|阿尔吉尼|巴腾|库尔萨|迪夫达|艾达西|弗鲁德|戈梅萨|霍玛姆|伊克利尔|吉|克拉兹|林克斯|马尔卡布|纳维|奥瑞恩|孔雀星|拉纳|萨比克|塔尼亚|赤霄|苍峦|星渊|雷泽|霜落|炎煌|风歌|云涛|玄冰|碧穹|银砂|紫电|青岚|赤霞|幽泉|明光|碎星|流光|沉舟|飞虹|定海|镇岳|凌霄|星枢|太微|紫薇|天市|北辰|扶摇|若木|建木|归墟|不周|昆仑|蓬莱|方丈|瀛洲|岱舆|员峤","Vortis Prime|Lythos|Xelara|Valtheon|Litharis|Zephyra|Tarsis|Voraq|Nyxar|Korvath|Eryndor|Quorath|Vespera|Pyronis|Galantis|Tyros|Nevrion|Serenis|Thalron|Voxis|Zerith|Crystalis|Ilyria|Vorrath|Vexilon|Ydris|Varnis-12|Cyronis|Florentis|Zetar|Morvoth|Illyricon|Tarvok|Virex|Xenonis|Talvoria|Valtor-5|Phyraxis|Therion|Dracarys|Velkros|Calyx-3|Vordara|Esthira|Mirandus|Zerka-9|Promyra|Vethora|Tyralon|Zaroth|Pylos|Erythos|Nydor|Valtrex|Zelaron|Xyphor|Crithon|Velaris|Draxion|Xovara|Quillon|Lysandra|Virexia|Telmara|Grython|Zolaris|Voltoris|Nexara|Aurora Station|Stellara|Lunaris|Solara|Nebulon|Celestine|Orionis|Eclipsia|Arcturus|Bellatrix|Capella|Deneb|Elnath|Fomalhaut|Gacrux|Hadar|Izar|Jabbah|Kaus|Lesath|Marfik|Nekkar|Ophelia|Procyon|Rigel|Sirius|Thuban|Vega|Wasat|Zaniah|Algenib|Baten|Cursa|Diphda|Edasich|Furud|Gomeisa|Homam|Iklil|Jih|Kraz|Lynx|Markab|Navi|Orion|Peacock|Rana|Sabik|Tania|Nova Prime|Xandar|Meridian|Vesper|Galactic Core|Hyperion|Elysium|Tartarus|Prometheus|Omega Station|Helios|Selene|Gaia|Kronos|Rhea|Atlas|Titan|Iapetus|Oberon|Titania|Ariel|Umbriel|Miranda|Caliban|Prospero|Sycorax|Setebos|Trinculo|Stephano|Alonso|Ferdinand|Gonzalo|Adrian"
